This is the front page of the Simple English Wikipedia.; 10
Wikipedias are places where people work together to write encyclopedias in different languages.; 13
We use Simple English words and grammar here. The Simple English Wikipedia is for everyone!; 15
That includes children and adults who are learning English. There are 142,262 articles on the Simple English Wikipedia. All of the pages are free to use.; 26
They have all been published under both the Creative Commons License and the GNU Free Documentation License.; 17
You can help here! You may change these pages and make new pages. Read the help pages and other good pages to learn how to write pages here.; 28
If you need help, you may ask questions at Simple talk. Use Basic English vocabulary and shorter sentences.; 18
This allows people to understand normally complex terms or phrases.; 10


